Video title,Video publish time,End screen element clicks,Card clicks,Views from playlist,Comments added,Shares,Likes (vs. dislikes) (%),Dislikes,Likes,Subscribers lost,Subscribers gained,Average percentage viewed (%),Views,Watch time (hours),Subscribers,Average view duration,Impressions,Impressions click-through rate (%)
Wickets in 1st Over | Mohammad Amir vs Shaheen Shah Afridi | HBL PSL | ML2A,22-Jun-23,3275,2,3,534,4270,97.82,277,12417,154,2414,30.67,1859280,78876.6679,2260,0:02:32,25936646,5.47
Fighting Knock By Boom Boom Shahid Afridi | Peshawar vs Karachi | HBL PSL | MB2A,11-Feb-23,3204,0,2,49,1807,97.77,83,3647,37,698,43.71,481869,21649.9424,661,0:02:41,7928788,5.04
Amir & Shaheen Charges vs Kiwis in PP | Pakistan vs New Zealand | 2nd T20I 2024 | PCB | M2E2A,20-Apr-24,3195,0,9,101,472,98.38,38,2307,19,329,61.77,314377,6418.5776,310,0:01:13,2362399,11.79
Highlights | South Africa vs Pakistan | T20I | CSA | MJ2L,1-Jul-23,3176,0,3,185,1116,96.22,314,7994,96,1685,32.48,848588,84216.6362,1589,0:05:57,12306901,5.15
PSL 9 | Top Yorkers in HBL PSL 9 so Far! | M1Z2A,3-Mar-24,3106,0,55,11,858,97.45,13,497,9,50,58.76,48236,897.4671,41,0:01:06,445264,6.55
Historic Super Over | Lahore Qalandars vs Karachi Kings | HBL PSL 2018 | MB2A,25-May-23,3102,3,7,369,3465,95.77,759,17172,226,4710,37.95,3091757,158399.7506,4484,0:03:04,53574531,5.02
🎥 Glimpses From the Pakistan Team Dinner in Hyderabad | PCB | MA2A,1-Oct-23,3093,0,100,266,627,98.19,75,4077,30,519,53.79,319191,6057.0656,489,0:01:08,2548198,11.12
Highlights | Pakistan vs Australia | ODI | PCB | MM2A,29-May-23,3061,0,38,66,3780,95.75,285,6415,75,1802,28.14,869092,64064.2892,1727,0:04:25,10944052,6.29
What a Battle! | Haris Takes on Shaheen | Lahore vs Peshawar | Match 33 | HBL PSL 8 | MI2A,18-Mar-23,3030,0,5,19,2526,98.85,14,1205,4,100,63.22,107661,2231.0676,96,0:01:14,1050694,8.2
Low Scoring Thrilling Match | Superb Effort By Pakistan Against Australia | T20I | PCB | MM2A,11-Jul-23,2934,1,3,72,616,95.72,218,4872,55,864,33.53,660508,61027.4376,809,0:05:32,7915866,5.81
Pakistan Chase The Target of 2️⃣9️⃣8️⃣ Runs at Karachi | Pakistan vs Sri Lanka | ODI | PCB | M1D2A,9-Oct-23,2918,1,3,61,1395,96.19,215,5424,50,1084,27.28,864691,74959.6457,1034,0:05:12,11090341,6.07
PSL 9 | Rivalry of PSL | Babar Azam vs Mohammad Amir | Peshawar Zalmi vs Quetta Gladiators | M2A1A,8-Mar-24,2890,0,29,289,625,97.25,92,3250,37,400,51.72,502299,14144.9251,363,0:01:41,5212169,8.47
Babar Azam 122 Against South Africa | Unbelievable Innings | Pakistan vs South Africa | CSA | MJ2L,6-Dec-22,2845,0,,210,5839,98.16,148,7903,68,1129,34.82,600709,52588.2302,1061,0:05:15,10608195,3.99
PSL 9 | 1st Innings Highlights | Multan Sultans vs Islamabad United | Match 34 Final | M2A1A,18-Mar-24,2830,0,6250,58,681,97.46,80,3064,29,337,59.09,291282,24240.9682,308,0:04:59,1644809,15.5
1st Innings Highlights | Pakistan vs New Zealand | 5th T20I 2024 | PCB | M2E2A,27-Apr-24,2805,0,2,176,1165,96.86,191,5883,52,881,50.63,624568,44625.5127,829,0:04:17,5269664,9.97
AB de Villiers Playing 360° Shots | Mr. 360° in HBL PSL | MB2L,10-Feb-23,2792,0,,112,3754,98.56,115,7873,69,1101,44.41,624306,25567.8211,1032,0:02:27,8536417,6.08
PSL 9 | 1st Innings Highlights | Peshawar Zalmi vs Multan Sultans | Match 21 | M2A1A,5-Mar-24,2787,0,125,116,1124,98.63,73,5251,46,664,57.4,404542,32765.4394,618,0:04:51,2663406,13.64
Saim Ayub At His Very Best | Lahore Qalandars vs Peshawar Zalmi | Match 15 | HBL PSL 8 | MI2A,27-Feb-23,2755,0,,42,1884,98.77,42,3376,20,440,61.47,423298,8529.2571,420,0:01:12,4586967,7.9
2nd Innings Highlights | Peshawar Zalmi vs Islamabad United | Match 13 | HBL PSL 9 | M2A1A,26-Feb-24,2747,0,100,114,1403,97.98,103,4993,51,762,53.62,454047,34287.8382,711,0:04:31,4059919,9.83
Full Highlights | Pakistan vs England | 1st T20I 2022 | PCB | MA2L,21-Sep-22,2735,0,1,41,1602,94.62,238,4183,30,1110,41.99,677542,76576.8261,1080,0:06:46,9562556,5.08
Blistering Knock By Saim Ayub | Peshawar Zalmi vs Quetta Gladiators | Match 25 | HBL PSL 8 | MI2A,9-Mar-23,2701,0,1,18,1311,99.21,10,1249,6,127,62.3,137973,2793.776,121,0:01:12,1182802,9.47
1st Innings Highlights | Lahore Qalandars vs Multan Sultans | Match 14 | HBL PSL 9 | M2A1A,27-Feb-24,2694,0,121,44,702,98.04,65,3243,58,463,56.05,298436,23927.821,405,0:04:48,2271158,11.87
1st Innings Highlights | Lahore Qalandars vs Quetta Gladiators | Match 4 | HBL PSL 9 | M2A1A,19-Feb-24,2691,0,167,61,892,97.62,67,2753,57,721,50.11,266439,18137.1024,664,0:04:05,2702220,8.91
Shaheen and Amir Star in Powerplay | Gulf Giants vs Desert Vipers | Match 7 | DP World ILT20,24-Jan-24,2624,0,4,62,1418,99.05,29,3037,21,474,70.39,224849,2593.9412,453,0:00:41,1255811,13.44
PSL 9 | Shan Masood vs Shadab Khan 😡🤬 | Islamabad United vs Karachi Kings | Match 24 | M1Z2A,7-Mar-24,2610,0,476,123,828,98.53,36,2418,22,220,67.89,253027,5534.8555,198,0:01:18,2501430,8.71
Heavy Fight | Kieron Pollard vs Shaheen Afridi | Lahore vs Multan | Match 31 | HBL PSL 8 | MI2A,15-Mar-23,2577,0,13,71,2064,97.78,37,1633,22,257,59.59,353937,6912.6238,235,0:01:10,3667067,8.48
Match Winning Knock By Fakhar Zaman | Pakistan vs New Zealand | 2nd ODI 2023 | PCB | M2B2A,29-Apr-23,2567,0,2,31,4839,98.13,43,2254,12,442,51.81,275148,5543.6197,430,0:01:12,2159726,11.46
PSL 9 | 2nd Innings Highlights | Islamabad United vs Multan Sultans | Match 27 | M2A1A,10-Mar-24,2492,0,1220,117,942,98.48,65,4207,41,401,56.33,274163,22394.4768,360,0:04:54,2207900,10.71
Shadab Khan vs M Haris | Mr. Google is on Fire | Islamabad vs Peshawar | Match 29 | HBL PSL 8 | MI2A,12-Mar-23,2483,0,4,9,869,98.83,11,930,4,89,61.88,79100,1427.636,85,0:01:04,731113,8.9
3️⃣rd. T20I Century 💯 By King Babar Azam Against Kiwis 2023 | Pakistan vs New Zealand | PCB | M2B2A,6-Jun-23,2476,0,2,149,17883,98.68,75,5613,33,1271,38.68,336916,8940.6455,1238,0:01:35,3028983,9.82
Abrar Ahmed Should Be Selected For World Cup 2023 | Rewinding His 11 Wicket Haul on Debut | MY2A,18-Sep-23,2474,1,99,254,396,98.82,39,3255,38,284,30.42,302457,11603.4625,246,0:02:18,2582743,8.48
Babar Azam & Co. Creates History | South Africa vs Pakistan | 3rd ODI 2021 | CSA | MJ2A,1-Jan-24,2474,0,3,51,534,96.78,106,3184,32,373,30.93,353857,29607.7976,341,0:05:01,6389992,4.43
2nd Innings Highlights | Lahore Qalandars vs Islamabad United | Match 1 | HBL PSL 9 | M2A1A,17-Feb-24,2462,0,361,94,891,97.4,72,2698,53,1089,40.01,316060,17670.1069,1036,0:03:21,3216622,8.79
1st Innings Highlights | Lahore Qalandars vs Karachi Kings | Match 10 | HBL PSL 9 | M2A1A,24-Feb-24,2461,0,132,72,678,98.05,55,2760,39,496,48.94,274353,19470.8069,457,0:04:15,2528676,9.74
Stunning Last-Over Win | Highlights | Pakistan vs England | T20I | PCB | MU1T,12-Nov-22,2459,0,18,11,1059,96.84,101,3091,34,458,28.22,329199,27637.8884,424,0:05:02,3712304,7.11
1st Innings Highlights | Lahore Qalandars vs Islamabad United | Match 1 | HBL PSL 9 | M2A1A,17-Feb-24,2449,0,451,62,1186,97.72,88,3773,70,1655,46.24,292961,18700.7586,1585,0:03:49,2638229,10.05
Haris Sohail & Boom Boom Shahid Afridi's Match Winning Knock Against New Zealand at Dubai | M2C2A,15-Jan-24,2444,0,12,38,762,95.37,184,3791,39,1229,32.33,927669,43149.8565,1190,0:02:47,27081331,3.01
Full Highlights | Multan Sultans vs Peshawar Zalmi | Final Match 34 | HBL PSL 6 | MB2T,9-Feb-22,2377,0,5,49,1181,97.25,179,6327,87,1331,28.35,504146,50902.0901,1244,0:06:03,9380189,4.27
Highest Chase in HBL PSL History | Jason Roy The Real Hero | The Real Game Changer | PSL | MI2A,8-Jun-23,2367,0,974,108,1334,98.2,112,6109,65,860,33.34,1052711,50403.6739,795,0:02:52,14982206,6.55
1st Innings Highlights | Multan Sultans vs Peshawar Zalmi | Match 9 | HBL PSL 9 | M2A1A,23-Feb-24,2312,0,222,79,1051,98.6,60,4233,54,766,51.24,405276,29074.9587,712,0:04:18,3445223,10.53
PSL 9 | 1st Innings Highlights | Islamabad United vs Lahore Qalandars | Match 23 | M2A1A,6-Mar-24,2301,0,222,22,345,98.54,25,1691,12,178,57.06,165328,12971.1112,166,0:04:42,1113884,13.07
